Run,App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Timestamp,First Contentful Paint_Value,First Contentful Paint_Score_%,Largest Contentful Paint_Value,Largest Contentful Paint_Score_%,Speed Index_Value,Speed Index_Score_%,Interactive_Value,Interactive_Score_%,Total Blocking Time_Value,Total Blocking Time_Score_%,Cumulative Layout Shift_Value,Cumulative Layout Shift_Score_%
1,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:16:45.048Z,1.68,92,3.14,74,3.16,92,3.14,95,0,100,0.001,100
2,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:16:57.542Z,2.58,64,2.65,86,4.46,73,2.66,97,0,100,0.001,100
3,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:17:10.221Z,2.59,64,2.67,86,4.48,73,2.67,97,0,100,0.001,100
4,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:17:23.693Z,2.58,64,2.65,86,4.45,73,2.66,97,0,100,0.001,100
5,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:17:36.748Z,2.58,64,2.65,86,4.43,73,2.66,97,0,100,0.001,100
6,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:17:49.453Z,2.59,64,2.67,86,4.45,73,2.68,97,0,100,0.001,100
7,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:18:02.467Z,2.59,64,2.67,86,4.47,73,2.68,97,0,100,0.001,100
8,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:18:15.244Z,2.6,64,2.67,86,4.44,73,2.68,97,0,100,0.001,100
9,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:18:28.069Z,2.58,64,2.66,86,4.46,73,2.66,97,0,100,0.001,100
10,"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,2025-06-10T10:18:40.744Z,1.65,93,2.66,86,3.18,92,2.66,97,0,100,0.001,100